JPN; kaori sakamoto; Figure skating; -; -; 2; 2; 2000
NED; antoinette de jong; Speed skating; -; -; 2; 3; 1995
JPN; shoma uno; Figure skating; -; -; 2; 2; 1997
NOR; simen hegstad krueger; Cross Country Skiing; -; -; 1; 2; 1993
FIN; sofianna sundelin; Ice Hockey; -; -; 1; 1; 2003
NOR; maria therese tviberg; Alpine Skiing; -; -; 1; 1; 1994
GER; franziska preuss; Biathlon; -; -; 1; 3; 1994
FRA; richard jouve; Cross Country Skiing; -; -; 1; 2; 1994
FIN; eveliina makinen; Ice Hockey; -; -; 1; 1; 1995
USA; joey mantia; Speed skating; -; -; 1; 3; 1986
CAN; cameron stones; Bobsleigh; -; -; 1; 2; 1992
CAN; lewis irving; Freestyle Skiing; -; -; 1; 2; 1995
SVK; samuel knazko; Ice Hockey; -; -; 1; 1; 2002
KOR; seung hoon lee; Speed skating; -; -; 1; 4; 1988
JPN; wakaba higuchi; Figure skating; -; -; 1; 1; 2001
AUS; tess coady; Snowboard; -; -; 1; 1; 2000
FIN; jenni hiirikoski; Ice Hockey; -; -; 1; 4; 1987
ROC; maxim tsvetkov; Biathlon; -; -; 1; 1; 1992
CAN; brad gushue; Curling; -; -; 1; 2; 1980
SVK; simon nemec; Ice Hockey; -; -; 1; 1; 2004
FIN; sanni hakala; Ice Hockey; -; -; 1; 2; 1997
SVK; mislav rosandic; Ice Hockey; -; -; 1; 1; 1995
SLO; gloria kotnik; Snowboard; -; -; 1; 4; 1989
ITA; dorothea wierer; Biathlon; -; -; 1; 3; 1990
SVK; pavol regenda; Ice Hockey; -; -; 1; 1; 1999
ROC; semen elistratov; Short Track Speed Skating; -; -; 1; 1; 1990
SWE; almida de val; Curling; -; -; 1; 1; 1997
NOR; fabian wilkens solheim; Alpine Skiing; -; -; 1; 1; 1996
AUT; thomas steu; Luge; -; -; 1; 2; 1994
SWE; frida karlsson; Cross Country Skiing; -; -; 1; 1; 1999
FIN; viivi vainikka; Ice Hockey; -; -; 1; 1; 2001
SVK; matej tomek; Ice Hockey; -; -; 1; 1; 1997
ITA; dominik fischnaller; Luge; -; -; 1; 3; 1993
SVK; michal cajkovsky; Ice Hockey; -; -; 1; 2; 1992
NOR; mina fuerst holtmann; Alpine Skiing; -; -; 1; 1; 1995
GER; markus eisenbichler; Ski Jumping; -; -; 1; 2; 1991
FIN; michelle karvinen; Ice Hockey; -; -; 1; 4; 1990
JPN; ryota yamamoto; Nordic Combined; -; -; 1; 1; 1997
SVK; samuel takac; Ice Hockey; -; -; 1; 1; 1991
USA; madison hubbell; Figure skating; -; -; 1; 2; 1991
FIN; julia liikala; Ice Hockey; -; -; 1; 1; 2001
JPN; sena tomita; Snowboard; -; -; 1; 2; 1999
POL; dawid kubacki; Ski Jumping; -; -; 1; 3; 1990
KOR; min seok kim; Speed skating; -; -; 1; 2; 1999
FRA; clement parisse; Cross Country Skiing; -; -; 1; 2; 1993
